"AgeAtAdmiImp","muac","hr","rr","sbp","dbp","temperature","spo2","time_since_last_hospitaliz","hg","number_of_siblings","maternal_age_years","maternal_educationnew","Distancenew","sex1","Abnormal_BCS1","hivFinal1","bednet2","bednet3","boiling1","hivMaternalUnknown","hivMaternalYes","malaria1","sibling_deaths1","W_AZ","W_LZ","BMI_AZ","temp2","method","n","ROC","rep_val"
"1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","0","0","1","1","1","1","1","0","1","1","1","1","RF","500","0.750361394557823",1
"1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","0","1","0","0","0","0","1","0","0","1","1","1","1","RF","1000","0.709083333333333",1
"1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","0","1","0","0","1","0","0","0","0","1","1","1","1","RF","2000","0.793171628566365",1
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","1","0","0","1","0","1","1","1","1","RF","2500","0.811895488477767",1
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","0","1","1","1","1","RF","3000","0.871064777921917",1
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","1","0","0","1","0","1","1","1","1","RF","3500","0.903772100646185",1
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","RF","4000","0.94111010456971",1
"0","0","1","0","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","stepAIC","500","0.545865549828179",1
"1","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","stepAIC","1000","0.643917332598512",1
"0","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","stepAIC","2000","0.683203404289087",1
"0","1","0","1","0","0","1","1","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","1","1","0","0","stepAIC","2500","0.693216488153197",1
"0","1","0","1","0","0","1","1","1","1","0","0","0","0","0","1","1","0","0","1","0","1","0","0","1","1","1","0","stepAIC","3000","0.705765632972391",1
"0","1","0","1","0","0","1","1","1","1","0","0","0","0","0","1","1","0","0","1","0","1","0","0","1","1","0","0","stepAIC","3500","0.722371974599019",1
